Kota,Prakiraan Cuaca Dini Hari,Suhu (°C),Kelembapan (%)
Banda Aceh,Cerah,23 - 32,65 - 95
Denpasar,Berawan,25 - 31,65 - 95
Serang,Berawan,23 - 31,65 - 95
Bengkulu,Hujan Ringan,23 - 32,60 - 95
Yogyakarta,Berawan,23 - 31,65 - 95
Jakarta Pusat,Berawan,24 - 29,75 - 95
Gorontalo,Cerah,23 - 33,55 - 95
Jambi,Kabut,23 - 30,75 - 100
Bandung,Berawan,20 - 25,75 - 95
Semarang,Berawan,24 - 32,65 - 90
Surabaya,Berawan,25 - 33,75 - 95
Pontianak,Cerah Berawan,23 - 33,55 - 100
Banjarmasin,Berawan,23 - 31,75 - 95
Palangkaraya,Hujan Ringan,24 - 33,55 - 95
Samarinda,Hujan Ringan,24 - 27,85 - 100
Tarakan,Hujan Sedang,24 - 32,75 - 95
Pangkal Pinang,Cerah Berawan,23 - 32,70 - 100
Tanjung Pinang,Cerah Berawan,24 - 32,60 - 95
Bandar Lampung,Berawan,23 - 32,55 - 95
Ambon,Berawan Tebal,25 - 29,75 - 90
Ternate,Cerah Berawan,25 - 32,70 - 95
Mataram,Berawan,23 - 32,60 - 95
Kupang,Cerah Berawan,23 - 32,65 - 95
Kota Jayapura,Cerah Berawan,23 - 31,65 - 95
Manokwari,Berawan,24 - 32,70 - 95
Pekanbaru,Cerah Berawan,23 - 32,70 - 100
Mamuju,Hujan Sedang,24 - 30,65 - 85
Makassar,Berawan,25 - 31,70 - 95
Kendari,Berawan,25 - 31,70 - 95
Manado,Cerah Berawan,23 - 34,60 - 95
Padang,Hujan Ringan,23 - 31,70 - 95
Palembang,Hujan Ringan,24 - 33,55 - 100
Medan,Berawan,22 - 34,65 - 95
